arrangement,prey_speed,pred_speed,mean,std,count
uniform,0.2,0.2,-42.166666666666664,11.294225241667702,15
uniform,0.2,0.4,-37.0,23.964259101539405,15
uniform,0.2,0.6,2.0,20.18220574098452,15
uniform,0.2,0.8,6.166666666666667,7.249794742578841,15
uniform,0.2,1.0,3.3333333333333335,7.9992559177773055,15
uniform,0.2,1.2,2.6666666666666665,2.7494588212089686,15
uniform,0.2,1.4,1.3333333333333333,1.2909944487358056,15
uniform,0.4,0.2,-43.166666666666664,11.4356376964212,15
uniform,0.4,0.4,-74.0,7.837638128197259,15
uniform,0.4,0.6,-50.0,26.92582403567252,15
uniform,0.4,0.8,-19.166666666666668,18.19209666180292,15
uniform,0.4,1.0,2.1666666666666665,5.890872681732389,15
uniform,0.4,1.2,0.16666666666666666,7.0373155054899685,15
uniform,0.4,1.4,1.3333333333333333,1.2909944487358056,15
uniform,0.6,0.2,-38.833333333333336,12.707796631914409,15
uniform,0.6,0.4,-74.16666666666667,9.940297973880048,15
uniform,0.6,0.6,-82.0,4.350697809383159,15
uniform,0.6,0.8,-62.5,19.639610121239315,15
uniform,0.6,1.0,-43.333333333333336,26.653642652865795,15
uniform,0.6,1.2,-14.0,23.218680902608202,15
uniform,0.6,1.4,-15.666666666666666,22.42978461990302,15
uniform,0.8,0.2,-42.833333333333336,11.2942252416677,15
uniform,0.8,0.4,-72.83333333333333,9.994045846450394,15
uniform,0.8,0.6,-80.83333333333333,9.144996029575537,15
uniform,0.8,0.8,-86.5,5.574175147179051,15
uniform,0.8,1.0,-61.5,21.769900583800823,15
uniform,0.8,1.2,-35.166666666666664,22.882983904660517,15
uniform,0.8,1.4,-27.333333333333332,25.061828307113547,15
uniform,1.0,0.2,-42.833333333333336,11.451242394646634,15
uniform,1.0,0.4,-72.16666666666667,10.388294694831613,15
uniform,1.0,0.6,-83.5,4.20458932936041,15
uniform,1.0,0.8,-84.5,10.530567750261955,15
uniform,1.0,1.0,-90.33333333333333,5.2497165456359465,15
uniform,1.0,1.2,-64.83333333333333,14.59166428707386,15
uniform,1.0,1.4,-36.5,19.1283260413152,15
uniform,1.2,0.2,-43.0,11.346805717910216,15
uniform,1.2,0.4,-73.0,9.552486587271401,15
uniform,1.2,0.6,-82.33333333333333,6.4411253083677265,15
uniform,1.2,0.8,-88.33333333333333,5.059173657351375,15
uniform,1.2,1.0,-88.5,6.80073525436772,15
uniform,1.2,1.2,-90.33333333333333,4.711940253481674,15
uniform,1.2,1.4,-61.833333333333336,16.968107338965847,15
