cover,clusters,cover_mean,cover_sd,usable_cover,dist_to_cover
low,0,0.14999999999999994,0.020944156246583637,0.0,-1.0
low,10,0.14998454054784716,0.06260336019014001,0.006322354649920942,4.692364128258913
low,20,0.14994786788745015,0.08376637173199228,0.012260241787346712,3.390365268889229
low,30,0.1498896308228776,0.10150238554392366,0.01892434533726341,2.669830256855497
low,40,0.14974828724233735,0.1127713287574193,0.022922807467213435,2.5303424538090287
low,50,0.1496388775810447,0.12150951531475547,0.02703233798966207,2.3670916439278304
low,60,0.14958306548279662,0.12697503654381068,0.02933914306463323,2.4144576470613943
medium,0,0.45,0.01827370507806443,0.0005211670724934678,3.375015412922757
medium,10,0.44998774475313497,0.046629738929957545,0.032320902217095944,8.041571082172442
medium,20,0.44995653451053985,0.06114554396434254,0.05773847665427822,6.648743011205645
medium,30,0.44990738913253214,0.07334571221444089,0.077277970011534,6.09689279415969
medium,40,0.4497609236688704,0.08403473094587725,0.0929813319663377,5.802138249879987
medium,50,0.44963826706873217,0.09433327008582142,0.10865051903114183,5.593223693341583
medium,60,0.44950985893079837,0.10359438690094422,0.12294416677346316,5.437258494129034
high,0,0.7500000000000001,0.015011542149089455,1.0,0.0
high,10,0.7499897145222594,0.028705065817001288,1.0,0.0
high,20,0.7499645289692041,0.035769819874180445,1.0,0.0
high,30,0.749927797801149,0.04173756293985901,1.0,0.0
high,40,0.7498311780830769,0.046946914596398395,1.0,0.0
high,50,0.7497407363610468,0.05198804309468223,1.0,0.0
high,60,0.7496360533080655,0.056518402967963434,1.0,0.0
