comparison,n,statistic,p,median_diff,cliffs_delta,magnitude,p_holm
adaptive vs still,1215,2453.0,2.3791718181570408e-185,20.0,0.7949662144998222,large,9.516687272628163e-185
adaptive vs hide,1215,148269.0,8.050836806169804e-57,12.5,0.3777655845145558,medium,1.6101673612339607e-56
adaptive vs flee,1215,44336.5,4.1145930290586526e-112,-10.0,-0.27914647157445516,small,1.2343779087175957e-111
adaptive vs seek-cover,1215,188699.5,9.69965712023086e-37,7.5,0.24160341411370223,small,9.69965712023086e-37
