policy,survival_at_0,survival_at_15,change,cliffs_delta,magnitude
flee,72.27777777777777,53.55555555555556,-18.722222222222214,-0.4093827160493827,medium
adaptive-dmas,24.27777777777778,7.666666666666667,-16.61111111111111,-0.7817283950617284,large
hide,20.27777777777778,17.444444444444443,-2.8333333333333357,-0.11555555555555552,negligible
seek-cover,28.333333333333332,25.555555555555557,-2.777777777777775,-0.11802469135802474,negligible
still,4.166666666666667,4.166666666666667,0.0,0.0,negligible
