strategy,cover,omega_squared,survival_at_0_clusters,survival_at_60_clusters,cliffs_delta,magnitude
still,low,0.033564459716512236,0.05555555555555555,0.6666666666666666,0.13530864197530867,negligible
still,medium,0.035833691099301734,1.1111111111111112,2.6666666666666665,0.3441975308641976,medium
still,high,-0.016042717934254633,9.333333333333334,9.944444444444445,0.07950617283950612,negligible
hide,low,0.08674405943380059,0.2777777777777778,2.2777777777777777,0.3412345679012345,medium
hide,medium,0.025027263515793055,8.722222222222221,12.555555555555555,0.35604938271604936,medium
hide,high,-0.009748879922065794,47.833333333333336,46.388888888888886,-0.13382716049382715,negligible
flee,low,0.001951961700972367,56.22222222222222,46.611111111111114,-0.22419753086419758,small
flee,medium,0.020080700286684957,62.666666666666664,67.5,0.09629629629629632,negligible
flee,high,0.006194044825770268,87.77777777777777,86.55555555555556,-0.12691358024691357,negligible
adaptive-dmas,low,0.03982547992211199,33.94444444444444,27.944444444444443,-0.29580246913580244,small
adaptive-dmas,medium,0.001135754999692336,23.833333333333332,21.77777777777778,-0.1308641975308642,negligible
adaptive-dmas,high,-0.003414377473613697,24.055555555555557,25.0,0.05333333333333323,negligible
