policy,n,survival,ci_lo,ci_hi,extinct_pct
flee,1215,66.84156378600824,64.940329218107,68.72021604938271,6.748971193415638
adaptive-dmas,1215,43.629629629629626,41.49588477366255,45.76543209876543,5.267489711934156
seek-cover,1215,24.20164609053498,23.06584362139918,25.339506172839506,17.86008230452675
hide,1215,20.38888888888889,19.156378600823047,21.635802469135804,21.728395061728396
still,1215,4.148148148148148,3.794187242798354,4.522633744855967,55.06172839506173
