policy,factorial,tournament,difference
flee,67.26543209876543,66.84156378600824,-0.42386831275719317
adaptive-dmas,43.67901234567901,43.629629629629626,-0.04938271604938649
hide,20.521604938271604,20.38888888888889,-0.13271604938271508
still,4.308641975308642,4.148148148148148,-0.16049382716049365
