strategy,cover,clusters,survival,cover_sd,usable_cover,n
still,low,0,0.05555555555555555,0.020944156246583637,0.0,45
still,low,10,0.05555555555555555,0.06260336019014001,0.006322354649920942,45
still,low,20,0.1111111111111111,0.08376637173199229,0.012260241787346712,45
still,low,30,0.2222222222222222,0.10150238554392366,0.018924345337263414,45
still,low,40,0.2777777777777778,0.1127713287574193,0.022922807467213435,45
still,low,50,0.16666666666666666,0.12150951531475546,0.02703233798966207,45
still,low,60,0.6666666666666666,0.12697503654381068,0.02933914306463323,45
still,medium,0,1.1111111111111112,0.018273705078064428,0.0005211670724934678,45
still,medium,10,1.0,0.046629738929957545,0.032320902217095944,45
still,medium,20,1.1111111111111112,0.06114554396434254,0.05773847665427822,45
still,medium,30,1.2777777777777777,0.07334571221444089,0.077277970011534,45
still,medium,40,1.4444444444444444,0.08403473094587725,0.0929813319663377,45
still,medium,50,1.5555555555555556,0.09433327008582142,0.10865051903114183,45
still,medium,60,2.6666666666666665,0.10359438690094422,0.12294416677346316,45
still,high,0,9.333333333333334,0.015011542149089454,1.0,45
still,high,10,8.777777777777779,0.028705065817001288,1.0,45
still,high,20,9.88888888888889,0.035769819874180445,1.0,45
still,high,30,9.5,0.04173756293985901,1.0,45
still,high,40,9.88888888888889,0.046946914596398395,1.0,45
still,high,50,9.333333333333334,0.05198804309468222,1.0,45
still,high,60,9.944444444444445,0.05651840296796344,1.0,45
hide,low,0,0.2777777777777778,0.020944156246583637,0.0,45
hide,low,10,0.5,0.06260336019014003,0.006322354649920942,45
hide,low,20,0.6666666666666666,0.08376637173199228,0.012260241787346712,45
hide,low,30,0.7222222222222222,0.10150238554392366,0.01892434533726341,45
hide,low,40,1.7222222222222223,0.1127713287574193,0.022922807467213435,45
hide,low,50,1.5,0.12150951531475548,0.02703233798966207,45
hide,low,60,2.2777777777777777,0.12697503654381065,0.02933914306463323,45
hide,medium,0,8.722222222222221,0.018273705078064435,0.0005211670724934678,45
hide,medium,10,11.38888888888889,0.04662973892995754,0.032320902217095944,45
hide,medium,20,10.277777777777779,0.061145543964342526,0.05773847665427822,45
hide,medium,30,9.722222222222221,0.07334571221444089,0.077277970011534,45
hide,medium,40,11.055555555555555,0.08403473094587725,0.0929813319663377,45
hide,medium,50,10.833333333333334,0.09433327008582142,0.10865051903114183,45
hide,medium,60,12.555555555555555,0.10359438690094422,0.12294416677346316,45
hide,high,0,47.833333333333336,0.015011542149089455,1.0,45
hide,high,10,48.166666666666664,0.028705065817001288,1.0,45
hide,high,20,49.05555555555556,0.035769819874180445,1.0,45
hide,high,30,48.44444444444444,0.04173756293985901,1.0,45
hide,high,40,47.611111111111114,0.046946914596398395,1.0,45
hide,high,50,47.05555555555556,0.05198804309468222,1.0,45
hide,high,60,46.388888888888886,0.05651840296796344,1.0,45
flee,low,0,56.22222222222222,0.02094415624658364,0.0,45
flee,low,10,45.05555555555556,0.06260336019014,0.006322354649920942,45
flee,low,20,48.94444444444444,0.08376637173199229,0.012260241787346712,45
flee,low,30,47.5,0.10150238554392366,0.01892434533726341,45
flee,low,40,52.833333333333336,0.11277132875741931,0.022922807467213435,45
flee,low,50,49.22222222222222,0.12150951531475547,0.02703233798966207,45
flee,low,60,46.611111111111114,0.12697503654381065,0.02933914306463323,45
flee,medium,0,62.666666666666664,0.018273705078064424,0.0005211670724934678,45
flee,medium,10,68.05555555555556,0.04662973892995754,0.032320902217095944,45
flee,medium,20,73.44444444444444,0.061145543964342526,0.05773847665427822,45
