motion,still,hide,flee,adaptive-dmas,seek-cover
1.0,3.9166666666666665,21.0,84.75,23.791666666666668,30.833333333333332
1.5,3.9166666666666665,21.0,69.0,24.0,29.958333333333332
2.0,3.9166666666666665,21.0,58.375,23.958333333333332,29.25
3.0,3.9166666666666665,21.0,45.291666666666664,26.625,29.208333333333332
4.0,3.9166666666666665,21.0,35.5,26.666666666666668,28.75
6.0,3.9166666666666665,21.0,37.958333333333336,26.458333333333332,29.541666666666668
8.0,3.9166666666666665,21.0,40.125,26.833333333333332,29.375
