cover,arrangement,mean,std,min,max,target,abs_error
low,uniform,0.1499999999999999,3.0368995853681884e-16,0.1499999999999991,0.1500000000000004,0.15,8.326672684688674e-17
low,patchy,0.1499184350628855,0.00010521420603398368,0.1495634555196475,0.1500000000000003,0.15,8.15649371145033e-05
low,mixed,0.14998187353095088,3.58981324027807e-05,0.1498405866299251,0.1500000000000003,0.15,1.8126469049112304e-05
medium,uniform,0.4500000000000001,7.787731732947829e-16,0.4499999999999989,0.4500000000000024,0.45,1.1102230246251565e-16
medium,patchy,0.4499472226877496,6.807978037495984e-05,0.4497175300421253,0.4500000000000006,0.45,5.277731225039606e-05
medium,mixed,0.44997134434199676,4.5600153792732425e-05,0.4498044425165015,0.4500000000000018,0.45,2.865565800325154e-05
high,uniform,0.7500000000000007,1.22702177501542e-15,0.749999999999999,0.7500000000000031,0.75,6.661338147750939e-16
high,patchy,0.7499760103126133,3.0945354715916703e-05,0.7498716045646026,0.7500000000000016,0.75,2.398968738670515e-05
high,mixed,0.7499584121167373,4.189688903564967e-05,0.7498371516338245,0.7500000000000019,0.75,4.15878832626948e-05
