factor,levels,omega_squared
strategy,4,0.4201421654277476
pred/prey speed ratio,8,0.19595585012553823
pred_speed,3,0.10421763547421377
cover,3,0.07415124899691662
prey_speed,3,0.07373181536471073
arrangement,3,-0.0001579496383526391
