strategy,n,survival_mean,ci_lo,ci_hi,extinction_pct
flee,2430,67.26543209876543,65.90843621399176,68.61015946502059,6.748971193415638
adaptive-dmas,2430,43.67901234567901,42.16867283950617,45.17901234567901,5.761316872427984
hide,2430,20.521604938271604,19.66355452674897,21.38477366255144,24.19753086419753
still,2430,4.308641975308642,4.043184156378601,4.573045267489712,54.44444444444444
