strategy,n,extinct_pct,median_extinction,survival_at_limit
still,2430,54.44444444444444,300.0,0.4555555555555576
hide,2430,24.19753086419753,315.5,0.7580246913580251
flee,2430,6.748971193415638,360.5,0.9325102880658447
adaptive-dmas,2430,5.761316872427984,395.0,0.94238683127572
