cover,arrangement,exp_hide,exp_flee,exp_still,exp_seek,evenness
low,uniform,0.08809094762933578,0.16618002452376637,0.7457290278468978,0.0,0.5187388337852392
low,patchy,0.1117244751145043,0.11510776193430938,0.7550365341857954,0.01813122876539081,0.5545817840516197
low,mixed,0.09936973802163916,0.12900246442429247,0.7575244800079591,0.014103317546109134,0.5429958018434413
medium,uniform,0.1709461482476181,0.08560851266936113,0.7433881380117775,5.72010712431855e-05,0.5178290331740326
medium,patchy,0.16610889502821685,0.07361722193673934,0.745344764593047,0.01492911844199672,0.54756304272225
medium,mixed,0.16282936487604993,0.07251053476207012,0.7500591234804466,0.01460097688143327,0.5408800872264358
high,uniform,0.2226402384449281,0.04775149264053034,0.7296082689145414,0.0,0.5025344710312528
high,patchy,0.22170198322071707,0.04795644845068357,0.7303415683285992,0.0,0.5030254137818787
high,mixed,0.22344534163379842,0.04612365130833354,0.730431007057868,0.0,0.5013012773419989
